organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,newly diagnosed patients-diabetes only,newly diagnosed patients-hypertension only,newly diagnosed patients-dm & htn (both),newly diagnosed patients-oral cancer,newly diagnosed patients-breast cancer_ncd,newly diagnosed patients-cervical cancer,newly diagnosed patients-other cancers,newly diagnosed patients-cvds,newly diagnosed patients-copd,newly diagnosed patients-ckd,newly diagnosed patients-nfald,newly diagnosed patients-stroke,newly diagnosed patients-rheumatoid arthritis
mIG6g6JDHb9,KOLHAPUR District,INP020019,,1510.0,1910.0,690.0,62.0,31.0,35.0,51.0,64.0,6.0,19.0,0.0,16.0,5.0
GG3gJjxAbfx,Latur Circle,,,4749.0,7609.0,3059.0,4.0,19.0,4.0,5.0,299.0,1987.0,163.0,4.0,155.0,121.0
TqxlKYYICWF,LATUR District,INP020017,,710.0,1639.0,332.0,0.0,1.0,3.0,1.0,3.0,34.0,0.0,0.0,1.0,7.0
b3vBdsycgAD,MAHARASHTRA,INP020,,43060.0,70415.0,28349.0,276.0,147.0,107.0,152.0,1997.0,4868.0,515.0,226.0,998.0,1626.0
MOrPVrbsUV5,Mumbai Circle,,,3517.0,4605.0,2094.0,8.0,1.0,0.0,1.0,94.0,674.0,26.0,11.0,51.0,513.0
xErXLgdjqAn,MUMBAI District,INP020021,,,,,,,,,,,,,,
KnqPnNOQioa,Nagpur Circle,,,6328.0,11046.0,3913.0,45.0,18.0,6.0,22.0,417.0,313.0,64.0,25.0,184.0,156.0
wbug8Mxo6zC,NAGPUR District,INP020020,,1012.0,1812.0,1071.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0
YBdLW8HbtTq,NANDED District,INP020024,,1473.0,2397.0,795.0,4.0,18.0,1.0,4.0,101.0,468.0,41.0,3.0,64.0,55.0
R3e0vEeNGKf,NANDURBAR District,INP020025,,1001.0,1096.0,375.0,29.0,4.0,2.0,9.0,83.0,57.0,44.0,0.0,80.0,0.0
bpwdZ43qNP8,NASHIK District,INP020023,,3761.0,4910.0,2864.0,31.0,7.0,20.0,4.0,263.0,218.0,43.0,49.0,96.0,74.0
lt9nHhvDkE9,Nasik Circle,,,7444.0,8934.0,3989.0,78.0,12.0,22.0,13.0,359.0,314.0,94.0,51.0,217.0,95.0
ceSRLSuzCVv,OSMANABAD District,INP020027,,945.0,1041.0,849.0,0.0,0.0,0.0,0.0,0.0,292.0,0.0,1.0,3.0,13.0
hNKI6wGAYKW,PALGHAR District,,,1711.0,2048.0,1213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
KybL1gHWlQz,PARBHANI District,INP020028,,564.0,558.0,550.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tt1jP7AMMXh,Pune Circle,,,9460.0,16626.0,5554.0,33.0,9.0,7.0,23.0,323.0,159.0,57.0,7.0,53.0,3.0
YeFrXHg9G9A,PUNE District,INP020026,,7595.0,13767.0,4600.0,5.0,0.0,0.0,0.0,254.0,120.0,44.0,7.0,15.0,3.0
BoAXl0VBwzM,RAIGAD District,INP020030,,433.0,642.0,121.0,5.0,0.0,0.0,0.0,11.0,24.0,0.0,0.0,6.0,19.0
iq9F3uBuH8V,RATNAGIRI District,INP020031,,743.0,1456.0,514.0,6.0,6.0,1.0,9.0,24.0,110.0,5.0,0.0,28.0,18.0
IQkIUNqMpZh,SANGLI District,INP020029,,242.0,125.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eoPDxhiVN0N,SATARA District,INP020033,,1559.0,2544.0,851.0,27.0,8.0,7.0,22.0,65.0,34.0,13.0,0.0,36.0,0.0
WtAaAL4DqyP,SINDHUDURG District,INP020034,,4227.0,10227.0,5614.0,2.0,10.0,9.0,14.0,188.0,228.0,26.0,26.0,69.0,112.0
TXW9gLCDId8,SOLAPUR District,INP020032,,306.0,315.0,103.0,1.0,1.0,0.0,1.0,4.0,5.0,0.0,0.0,2.0,0.0
gebOTX312Ko,THANE District,INP020001,,1373.0,1915.0,760.0,3.0,1.0,0.0,1.0,83.0,650.0,26.0,11.0,44.0,494.0
O6nkEM1HSlL,WARDHA District,INP020035,,56.0,181.0,32.0,1.0,1.0,0.0,2.0,11.0,23.0,0.0,0.0,10.0,0.0
cEtISxeARwH,WASHIM District,INP020002,,671.0,1211.0,279.0,18.0,13.0,12.0,11.0,42.0,80.0,5.0,64.0,14.0,72.0
dSaNDIEQRBn,YEOTMAL District,INP020013,,1602.0,2669.0,917.0,2.0,0.0,0.0,0.0,0.0,742.0,1.0,38.0,0.0,526.0
