organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,newly diagnosed patients-diabetes only,newly diagnosed patients-hypertension only,newly diagnosed patients-dm & htn (both),newly diagnosed patients-oral cancer,newly diagnosed patients-breast cancer_ncd,newly diagnosed patients-cervical cancer,newly diagnosed patients-other cancers,newly diagnosed patients-cvds,newly diagnosed patients-copd,newly diagnosed patients-ckd,newly diagnosed patients-nfald,newly diagnosed patients-stroke,newly diagnosed patients-rheumatoid arthritis
SRjaOfgOdW7,AHMADNAGAR District,INP020011,,1786.0,2035.0,443.0,16.0,1.0,0.0,0.0,13.0,20.0,1.0,0.0,41.0,1.0
y9J7k1pN9OA,Akola Circle,,,3564.0,6158.0,1955.0,25.0,22.0,13.0,14.0,169.0,1020.0,61.0,102.0,198.0,601.0
qC8kRmVDTDh,AKOLA District,INP020010,,118.0,173.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
LKmRCfa7kKi,AMRAVATI District,INP020003,,1037.0,1921.0,701.0,5.0,9.0,1.0,2.0,127.0,2.0,7.0,0.0,111.0,0.0
by8LuXBuJEM,Aurangabad Circle,,,1276.0,1719.0,932.0,13.0,19.0,10.0,0.0,60.0,57.0,0.0,0.0,27.0,2.0
xF4hs9euAzp,AURANGABAD District,INP020004,,540.0,708.0,246.0,10.0,0.0,0.0,0.0,37.0,32.0,0.0,0.0,8.0,2.0
gaOwpAyUNPD,BEED District,INP020005,,1621.0,2532.0,1083.0,0.0,0.0,0.0,0.0,195.0,1193.0,122.0,0.0,87.0,46.0
wH9vOL1BtQ6,BHANDARA District,INP020006,,996.0,2917.0,516.0,23.0,5.0,3.0,7.0,127.0,107.0,28.0,15.0,90.0,43.0
rV6qE1poSug,BULDHANA District,INP020007,,136.0,184.0,47.0,0.0,0.0,0.0,0.0,0.0,196.0,48.0,0.0,73.0,0.0
v68mENuVO6i,CHANDRAPUR District,INP020012,,273.0,646.0,135.0,4.0,4.0,2.0,4.0,22.0,26.0,2.0,0.0,36.0,67.0
TNVtygx5jFa,DHULE District,INP020009,,475.0,504.0,189.0,2.0,0.0,0.0,0.0,0.0,19.0,6.0,2.0,0.0,20.0
uO7oaa4xK73,GADCHIROLI District,INP020015,,1335.0,1709.0,1177.0,14.0,7.0,1.0,9.0,252.0,61.0,32.0,10.0,41.0,41.0
GEt1mNCoczB,GONDIA District,INP020016,,2656.0,3781.0,982.0,3.0,1.0,0.0,0.0,5.0,15.0,2.0,0.0,7.0,5.0
QtqEfxUglbW,HINGOLI District,INP020014,,88.0,352.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XkMce0wFkWa,JALGAON District,INP020008,,421.0,389.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eugBHYWFNaX,JALNA District,INP020018,,84.0,101.0,44.0,2.0,19.0,10.0,0.0,23.0,25.0,0.0,0.0,19.0,0.0
gypaPwnDJ1I,Kolhapur Circle,,,6722.0,13718.0,6853.0,70.0,47.0,45.0,74.0,276.0,344.0,50.0,26.0,113.0,135.0
