organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,newly diagnosed patients-diabetes only,newly diagnosed patients-hypertension only,newly diagnosed patients-dm & htn (both),newly diagnosed patients-oral cancer,newly diagnosed patients-breast cancer_ncd,newly diagnosed patients-cervical cancer,newly diagnosed patients-other cancers,newly diagnosed patients-cvds,newly diagnosed patients-copd,newly diagnosed patients-ckd,newly diagnosed patients-nfald,newly diagnosed patients-stroke,newly diagnosed patients-rheumatoid arthritis
SRjaOfgOdW7,AHMADNAGAR District,INP020011,,2520.0,2603.0,260.0,2.0,2.0,2.0,0.0,1.0,28.0,0.0,0.0,32.0,0.0
y9J7k1pN9OA,Akola Circle,,,2864.0,4581.0,1678.0,14.0,4.0,2.0,9.0,259.0,171.0,19.0,3.0,188.0,18.0
qC8kRmVDTDh,AKOLA District,INP020010,,222.0,333.0,59.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0
LKmRCfa7kKi,AMRAVATI District,INP020003,,1001.0,1622.0,941.0,6.0,1.0,2.0,4.0,176.0,2.0,1.0,0.0,147.0,0.0
by8LuXBuJEM,Aurangabad Circle,,,1746.0,3384.0,889.0,2.0,5.0,1.0,0.0,248.0,233.0,0.0,4.0,45.0,3.0
xF4hs9euAzp,AURANGABAD District,INP020004,,1050.0,1608.0,496.0,1.0,3.0,1.0,0.0,124.0,204.0,0.0,0.0,11.0,3.0
gaOwpAyUNPD,BEED District,INP020005,,3817.0,5708.0,4205.0,0.0,0.0,0.0,1.0,543.0,1661.0,525.0,0.0,80.0,3.0
wH9vOL1BtQ6,BHANDARA District,INP020006,,2571.0,8131.0,1262.0,39.0,8.0,1.0,14.0,176.0,132.0,60.0,31.0,172.0,42.0
rV6qE1poSug,BULDHANA District,INP020007,,865.0,559.0,171.0,2.0,2.0,0.0,0.0,1.0,122.0,8.0,0.0,0.0,9.0
v68mENuVO6i,CHANDRAPUR District,INP020012,,266.0,526.0,119.0,13.0,4.0,4.0,1.0,31.0,95.0,7.0,9.0,40.0,113.0
TNVtygx5jFa,DHULE District,INP020009,,818.0,1130.0,453.0,2.0,0.0,1.0,0.0,0.0,24.0,0.0,0.0,2.0,0.0
uO7oaa4xK73,GADCHIROLI District,INP020015,,668.0,965.0,435.0,39.0,4.0,7.0,4.0,173.0,166.0,28.0,16.0,43.0,9.0
GEt1mNCoczB,GONDIA District,INP020016,,508.0,948.0,390.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
QtqEfxUglbW,HINGOLI District,INP020014,,257.0,1088.0,253.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
XkMce0wFkWa,JALGAON District,INP020008,,807.0,1147.0,177.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,4.0,2.0,47.0
eugBHYWFNaX,JALNA District,INP020018,,215.0,246.0,52.0,0.0,0.0,0.0,0.0,87.0,21.0,0.0,4.0,29.0,0.0
gypaPwnDJ1I,Kolhapur Circle,,,7152.0,13175.0,3705.0,16.0,9.0,4.0,10.0,219.0,200.0,82.0,23.0,97.0,414.0
mIG6g6JDHb9,KOLHAPUR District,INP020019,,1122.0,2171.0,702.0,2.0,1.0,1.0,1.0,32.0,50.0,53.0,2.0,22.0,48.0
GG3gJjxAbfx,Latur Circle,,,6545.0,10780.0,5439.0,7.0,14.0,13.0,6.0,706.0,2136.0,595.0,8.0,206.0,260.0
TqxlKYYICWF,LATUR District,INP020017,,632.0,1350.0,170.0,1.0,10.0,10.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0
b3vBdsycgAD,MAHARASHTRA,INP020,,45312.0,77173.0,23856.0,239.0,157.0,72.0,113.0,2464.0,4440.0,960.0,482.0,1147.0,1070.0
MOrPVrbsUV5,Mumbai Circle,,,2720.0,4051.0,1435.0,6.0,1.0,1.0,3.0,220.0,561.0,37.0,117.0,111.0,41.0
xErXLgdjqAn,MUMBAI District,INP020021,,,,,,,,,,,,,,
KnqPnNOQioa,Nagpur Circle,,,6081.0,13540.0,3710.0,96.0,18.0,14.0,19.0,432.0,559.0,100.0,70.0,268.0,211.0
wbug8Mxo6zC,NAGPUR District,INP020020,,1928.0,2647.0,1387.0,1.0,0.0,0.0,0.0,38.0,141.0,4.0,13.0,4.0,35.0
YBdLW8HbtTq,NANDED District,INP020024,,1608.0,3133.0,876.0,3.0,3.0,1.0,1.0,142.0,428.0,66.0,8.0,85.0,257.0
R3e0vEeNGKf,NANDURBAR District,INP020025,,2142.0,2697.0,974.0,5.0,1.0,0.0,1.0,34.0,62.0,72.0,114.0,17.0,27.0
bpwdZ43qNP8,NASHIK District,INP020023,,2417.0,3747.0,1255.0,8.0,7.0,0.0,1.0,182.0,135.0,20.0,25.0,108.0,3.0
lt9nHhvDkE9,Nasik Circle,,,8704.0,11324.0,3119.0,17.0,10.0,3.0,2.0,217.0,338.0,92.0,143.0,161.0,77.0
ceSRLSuzCVv,OSMANABAD District,INP020027,,488.0,589.0,188.0,3.0,1.0,2.0,4.0,21.0,30.0,4.0,0.0,41.0,0.0
hNKI6wGAYKW,PALGHAR District,,,713.0,680.0,304.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
KybL1gHWlQz,PARBHANI District,INP020028,,224.0,442.0,88.0,1.0,2.0,0.0,0.0,37.0,2.0,0.0,0.0,5.0,0.0
tt1jP7AMMXh,Pune Circle,,,9500.0,16338.0,3881.0,81.0,96.0,34.0,64.0,163.0,242.0,35.0,114.0,71.0,46.0
YeFrXHg9G9A,PUNE District,INP020026,,6321.0,11165.0,3350.0,61.0,89.0,30.0,60.0,43.0,53.0,13.0,2.0,21.0,26.0
BoAXl0VBwzM,RAIGAD District,INP020030,,777.0,1466.0,185.0,1.0,0.0,1.0,1.0,13.0,53.0,4.0,0.0,10.0,31.0
iq9F3uBuH8V,RATNAGIRI District,INP020031,,631.0,1084.0,300.0,4.0,5.0,1.0,6.0,26.0,83.0,6.0,8.0,27.0,87.0
IQkIUNqMpZh,SANGLI District,INP020029,,256.0,309.0,239.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,39.0
eoPDxhiVN0N,SATARA District,INP020033,,1384.0,1868.0,246.0,15.0,6.0,4.0,4.0,85.0,86.0,22.0,112.0,50.0,6.0
WtAaAL4DqyP,SINDHUDURG District,INP020034,,5143.0,9611.0,2464.0,9.0,3.0,2.0,3.0,161.0,62.0,23.0,13.0,48.0,240.0
TXW9gLCDId8,SOLAPUR District,INP020032,,1795.0,3305.0,285.0,5.0,1.0,0.0,0.0,35.0,103.0,0.0,0.0,0.0,14.0
gebOTX312Ko,THANE District,INP020001,,1230.0,1905.0,946.0,5.0,1.0,0.0,2.0,207.0,507.0,33.0,117.0,101.0,10.0
O6nkEM1HSlL,WARDHA District,INP020035,,140.0,323.0,117.0,3.0,2.0,2.0,0.0,14.0,22.0,1.0,1.0,9.0,12.0
cEtISxeARwH,WASHIM District,INP020002,,244.0,657.0,138.0,5.0,1.0,0.0,4.0,81.0,14.0,6.0,0.0,39.0,0.0
dSaNDIEQRBn,YEOTMAL District,INP020013,,532.0,1410.0,369.0,1.0,0.0,0.0,0.0,1.0,33.0,3.0,3.0,2.0,4.0
