organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,newly diagnosed patients-diabetes only,newly diagnosed patients-hypertension only,newly diagnosed patients-dm & htn (both),newly diagnosed patients-oral cancer,newly diagnosed patients-breast cancer_ncd,newly diagnosed patients-cervical cancer,newly diagnosed patients-other cancers,newly diagnosed patients-cvds,newly diagnosed patients-copd,newly diagnosed patients-ckd,newly diagnosed patients-nfald,newly diagnosed patients-stroke,newly diagnosed patients-rheumatoid arthritis
tt1jP7AMMXh,Pune Circle,,,7282.0,11785.0,4046.0,22.0,17.0,6.0,6.0,208.0,114.0,37.0,51.0,104.0,256.0
YeFrXHg9G9A,PUNE District,INP020026,,6004.0,9942.0,3400.0,3.0,2.0,1.0,0.0,172.0,81.0,31.0,51.0,71.0,253.0
BoAXl0VBwzM,RAIGAD District,INP020030,,396.0,524.0,375.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,2.0,3.0
iq9F3uBuH8V,RATNAGIRI District,INP020031,,812.0,2022.0,609.0,6.0,3.0,2.0,2.0,32.0,29.0,24.0,0.0,7.0,172.0
IQkIUNqMpZh,SANGLI District,INP020029,,81.0,160.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eoPDxhiVN0N,SATARA District,INP020033,,953.0,1602.0,534.0,18.0,14.0,5.0,6.0,36.0,23.0,6.0,0.0,32.0,0.0
WtAaAL4DqyP,SINDHUDURG District,INP020034,,3742.0,10952.0,5121.0,6.0,8.0,1.0,7.0,127.0,270.0,23.0,29.0,55.0,347.0
TXW9gLCDId8,SOLAPUR District,INP020032,,325.0,241.0,112.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
gebOTX312Ko,THANE District,INP020001,,839.0,1291.0,577.0,13.0,5.0,5.0,3.0,76.0,99.0,71.0,0.0,56.0,3.0
O6nkEM1HSlL,WARDHA District,INP020035,,89.0,225.0,42.0,2.0,4.0,0.0,0.0,26.0,11.0,2.0,0.0,8.0,0.0
cEtISxeARwH,WASHIM District,INP020002,,786.0,1018.0,366.0,30.0,24.0,23.0,7.0,21.0,32.0,6.0,3.0,12.0,6.0
dSaNDIEQRBn,YEOTMAL District,INP020013,,479.0,797.0,167.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,6.0,0.0,46.0
