organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,newly diagnosed patients-diabetes only,newly diagnosed patients-hypertension only,newly diagnosed patients-dm & htn (both),newly diagnosed patients-oral cancer,newly diagnosed patients-breast cancer_ncd,newly diagnosed patients-cervical cancer,newly diagnosed patients-other cancers,newly diagnosed patients-cvds,newly diagnosed patients-copd,newly diagnosed patients-ckd,newly diagnosed patients-nfald,newly diagnosed patients-stroke,newly diagnosed patients-rheumatoid arthritis
SRjaOfgOdW7,AHMADNAGAR District,INP020011,,2039.0,2682.0,645.0,41.0,73.0,23.0,40.0,39.0,49.0,5.0,0.0,89.0,6.0
y9J7k1pN9OA,Akola Circle,,,2399.0,3538.0,1122.0,37.0,25.0,23.0,8.0,137.0,239.0,55.0,9.0,147.0,59.0
qC8kRmVDTDh,AKOLA District,INP020010,,64.0,106.0,23.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,7.0
LKmRCfa7kKi,AMRAVATI District,INP020003,,948.0,1460.0,499.0,7.0,1.0,0.0,1.0,113.0,6.0,0.0,0.0,95.0,0.0
by8LuXBuJEM,Aurangabad Circle,,,1554.0,1750.0,1032.0,0.0,0.0,0.0,0.0,30.0,126.0,0.0,0.0,6.0,0.0
xF4hs9euAzp,AURANGABAD District,INP020004,,565.0,574.0,131.0,0.0,0.0,0.0,0.0,30.0,29.0,0.0,0.0,6.0,0.0
gaOwpAyUNPD,BEED District,INP020005,,723.0,1317.0,575.0,0.0,0.0,0.0,0.0,45.0,600.0,61.0,0.0,45.0,39.0
wH9vOL1BtQ6,BHANDARA District,INP020006,,1263.0,2920.0,842.0,16.0,5.0,3.0,10.0,134.0,69.0,35.0,1.0,98.0,15.0
rV6qE1poSug,BULDHANA District,INP020007,,122.0,157.0,67.0,0.0,0.0,0.0,0.0,3.0,183.0,49.0,0.0,40.0,0.0
v68mENuVO6i,CHANDRAPUR District,INP020012,,355.0,556.0,141.0,12.0,2.0,1.0,6.0,34.0,30.0,11.0,0.0,36.0,57.0
TNVtygx5jFa,DHULE District,INP020009,,505.0,429.0,124.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,22.0
uO7oaa4xK73,GADCHIROLI District,INP020015,,3159.0,3671.0,3617.0,4.0,10.0,1.0,7.0,135.0,193.0,25.0,128.0,47.0,155.0
GEt1mNCoczB,GONDIA District,INP020016,,1087.0,1907.0,785.0,5.0,1.0,1.0,0.0,7.0,17.0,1.0,0.0,4.0,5.0
QtqEfxUglbW,HINGOLI District,INP020014,,290.0,431.0,490.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0
XkMce0wFkWa,JALGAON District,INP020008,,352.0,307.0,123.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,9.0,29.0
eugBHYWFNaX,JALNA District,INP020018,,104.0,137.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gypaPwnDJ1I,Kolhapur Circle,,,5458.0,14724.0,6298.0,179.0,82.0,75.0,9.0,177.0,306.0,57.0,29.0,69.0,576.0
mIG6g6JDHb9,KOLHAPUR District,INP020019,,823.0,1590.0,540.0,167.0,71.0,72.0,0.0,18.0,7.0,10.0,0.0,7.0,57.0
GG3gJjxAbfx,Latur Circle,,,4147.0,6230.0,2211.0,8.0,2.0,1.0,4.0,133.0,869.0,102.0,22.0,106.0,163.0
TqxlKYYICWF,LATUR District,INP020017,,623.0,1512.0,367.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
b3vBdsycgAD,MAHARASHTRA,INP020,,38127.0,61752.0,26790.0,367.0,236.0,145.0,95.0,1485.0,2330.0,872.0,665.0,971.0,1816.0
MOrPVrbsUV5,Mumbai Circle,,,2900.0,3726.0,2118.0,14.0,5.0,5.0,3.0,84.0,114.0,71.0,0.0,58.0,47.0
xErXLgdjqAn,MUMBAI District,INP020021,,,,,,,,,,,,,,
KnqPnNOQioa,Nagpur Circle,,,7327.0,11156.0,6693.0,39.0,22.0,6.0,23.0,336.0,373.0,74.0,129.0,193.0,232.0
wbug8Mxo6zC,NAGPUR District,INP020020,,1374.0,1877.0,1266.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0
YBdLW8HbtTq,NANDED District,INP020024,,1811.0,2369.0,872.0,8.0,2.0,1.0,4.0,88.0,182.0,41.0,15.0,61.0,117.0
R3e0vEeNGKf,NANDURBAR District,INP020025,,974.0,899.0,400.0,20.0,4.0,1.0,1.0,115.0,0.0,416.0,425.0,79.0,416.0
bpwdZ43qNP8,NASHIK District,INP020023,,3190.0,4526.0,1978.0,5.0,6.0,5.0,1.0,226.0,131.0,55.0,0.0,111.0,10.0
lt9nHhvDkE9,Nasik Circle,,,7060.0,8843.0,3270.0,68.0,83.0,29.0,42.0,380.0,189.0,476.0,425.0,288.0,483.0
ceSRLSuzCVv,OSMANABAD District,INP020027,,990.0,1032.0,397.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,7.0,0.0,7.0
hNKI6wGAYKW,PALGHAR District,,,1665.0,1911.0,1166.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,41.0
KybL1gHWlQz,PARBHANI District,INP020028,,595.0,608.0,395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
