organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,newly diagnosed patients-diabetes only,newly diagnosed patients-hypertension only,newly diagnosed patients-dm & htn (both),newly diagnosed patients-oral cancer,newly diagnosed patients-breast cancer_ncd,newly diagnosed patients-cervical cancer,newly diagnosed patients-other cancers,newly diagnosed patients-cvds,newly diagnosed patients-copd,newly diagnosed patients-ckd,newly diagnosed patients-nfald,newly diagnosed patients-stroke,newly diagnosed patients-rheumatoid arthritis
SRjaOfgOdW7,AHMADNAGAR District,INP020011,,1653.0,1832.0,822.0,9.0,1.0,0.0,0.0,20.0,121.0,5.0,49.0,55.0,53.0
y9J7k1pN9OA,Akola Circle,,,2063.0,3083.0,1370.0,283.0,126.0,138.0,1.0,141.0,269.0,72.0,0.0,182.0,0.0
qC8kRmVDTDh,AKOLA District,INP020010,,158.0,158.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LKmRCfa7kKi,AMRAVATI District,INP020003,,1100.0,1749.0,1065.0,263.0,111.0,111.0,1.0,141.0,30.0,1.0,0.0,88.0,0.0
by8LuXBuJEM,Aurangabad Circle,,,2758.0,1963.0,729.0,0.0,0.0,0.0,1.0,12.0,65.0,0.0,10.0,5.0,51.0
xF4hs9euAzp,AURANGABAD District,INP020004,,440.0,447.0,92.0,0.0,0.0,0.0,1.0,12.0,59.0,0.0,10.0,4.0,46.0
gaOwpAyUNPD,BEED District,INP020005,,62.0,145.0,18.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,97.0
wH9vOL1BtQ6,BHANDARA District,INP020006,,333.0,1201.0,366.0,10.0,2.0,1.0,8.0,106.0,38.0,15.0,0.0,100.0,0.0
rV6qE1poSug,BULDHANA District,INP020007,,161.0,217.0,78.0,0.0,0.0,0.0,0.0,0.0,219.0,71.0,0.0,94.0,0.0
v68mENuVO6i,CHANDRAPUR District,INP020012,,1387.0,2204.0,110.0,3.0,1.0,1.0,0.0,31.0,32.0,2.0,0.0,32.0,5.0
TNVtygx5jFa,DHULE District,INP020009,,137.0,98.0,53.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,10.0
uO7oaa4xK73,GADCHIROLI District,INP020015,,1328.0,1850.0,1262.0,1.0,7.0,1.0,7.0,103.0,123.0,20.0,212.0,42.0,40.0
GEt1mNCoczB,GONDIA District,INP020016,,1524.0,2506.0,895.0,2.0,0.0,0.0,0.0,3.0,79.0,6.0,2.0,5.0,14.0
QtqEfxUglbW,HINGOLI District,INP020014,,40.0,153.0,27.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
XkMce0wFkWa,JALGAON District,INP020008,,433.0,687.0,745.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,83.0,0.0,40.0
eugBHYWFNaX,JALNA District,INP020018,,113.0,154.0,35.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,5.0
gypaPwnDJ1I,Kolhapur Circle,,,4357.0,10231.0,4376.0,134.0,77.0,58.0,7.0,171.0,226.0,63.0,27.0,64.0,549.0
mIG6g6JDHb9,KOLHAPUR District,INP020019,,741.0,594.0,608.0,98.0,57.0,57.0,0.0,20.0,0.0,0.0,0.0,3.0,0.0
