organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,newly diagnosed patients-diabetes only,newly diagnosed patients-hypertension only,newly diagnosed patients-dm & htn (both),newly diagnosed patients-oral cancer,newly diagnosed patients-breast cancer_ncd,newly diagnosed patients-cervical cancer,newly diagnosed patients-other cancers,newly diagnosed patients-cvds,newly diagnosed patients-copd,newly diagnosed patients-ckd,newly diagnosed patients-nfald,newly diagnosed patients-stroke,newly diagnosed patients-rheumatoid arthritis
GG3gJjxAbfx,Latur Circle,,,251.0,585.0,195.0,16.0,1.0,0.0,0.0,2.0,11.0,4.0,1.0,1.0,97.0
TqxlKYYICWF,LATUR District,INP020017,,111.0,335.0,137.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
b3vBdsycgAD,MAHARASHTRA,INP020,,30986.0,47446.0,22468.0,480.0,228.0,209.0,39.0,883.0,1422.0,243.0,387.0,593.0,1043.0
MOrPVrbsUV5,Mumbai Circle,,,2315.0,3156.0,1199.0,0.0,2.0,6.0,1.0,35.0,85.0,18.0,0.0,22.0,16.0
xErXLgdjqAn,MUMBAI District,INP020021,,,,,,,,,,,,,,
KnqPnNOQioa,Nagpur Circle,,,8489.0,12933.0,5876.0,20.0,14.0,3.0,15.0,249.0,324.0,46.0,214.0,182.0,59.0
wbug8Mxo6zC,NAGPUR District,INP020020,,3839.0,5009.0,3201.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0
YBdLW8HbtTq,NANDED District,INP020024,,58.0,90.0,37.0,12.0,1.0,0.0,0.0,2.0,7.0,4.0,1.0,0.0,0.0
R3e0vEeNGKf,NANDURBAR District,INP020025,,327.0,376.0,137.0,8.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,10.0,0.0
bpwdZ43qNP8,NASHIK District,INP020023,,2424.0,3773.0,1606.0,8.0,1.0,1.0,6.0,184.0,76.0,21.0,3.0,45.0,20.0
lt9nHhvDkE9,Nasik Circle,,,4974.0,6766.0,3363.0,25.0,4.0,1.0,7.0,209.0,239.0,26.0,135.0,110.0,123.0
ceSRLSuzCVv,OSMANABAD District,INP020027,,20.0,15.0,3.0,,,,,,0.0,,0.0,,0.0
hNKI6wGAYKW,PALGHAR District,,,1525.0,1811.0,767.0,0.0,0.0,0.0,0.0,2.0,25.0,5.0,0.0,3.0,16.0
KybL1gHWlQz,PARBHANI District,INP020028,,2165.0,1209.0,575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tt1jP7AMMXh,Pune Circle,,,5779.0,8729.0,5360.0,2.0,4.0,3.0,7.0,64.0,203.0,14.0,0.0,27.0,148.0
YeFrXHg9G9A,PUNE District,INP020026,,5234.0,7885.0,5130.0,1.0,1.0,0.0,5.0,60.0,116.0,14.0,0.0,18.0,148.0
BoAXl0VBwzM,RAIGAD District,INP020030,,302.0,510.0,67.0,0.0,0.0,0.0,0.0,6.0,18.0,0.0,0.0,5.0,0.0
iq9F3uBuH8V,RATNAGIRI District,INP020031,,865.0,1966.0,542.0,7.0,2.0,0.0,0.0,44.0,50.0,33.0,20.0,20.0,181.0
IQkIUNqMpZh,SANGLI District,INP020029,,120.0,297.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eoPDxhiVN0N,SATARA District,INP020033,,217.0,511.0,106.0,1.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,5.0,0.0
WtAaAL4DqyP,SINDHUDURG District,INP020034,,2631.0,7374.0,3111.0,29.0,18.0,1.0,7.0,107.0,176.0,30.0,7.0,41.0,368.0
TXW9gLCDId8,SOLAPUR District,INP020032,,328.0,333.0,124.0,0.0,0.0,1.0,0.0,0.0,85.0,0.0,0.0,4.0,0.0
gebOTX312Ko,THANE District,INP020001,,488.0,835.0,365.0,0.0,2.0,6.0,1.0,27.0,42.0,13.0,0.0,14.0,0.0
O6nkEM1HSlL,WARDHA District,INP020035,,78.0,163.0,42.0,4.0,4.0,0.0,0.0,6.0,16.0,3.0,0.0,3.0,0.0
cEtISxeARwH,WASHIM District,INP020002,,517.0,747.0,142.0,20.0,15.0,27.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
dSaNDIEQRBn,YEOTMAL District,INP020013,,127.0,212.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
