organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,newly diagnosed patients-diabetes only,newly diagnosed patients-hypertension only,newly diagnosed patients-dm & htn (both),newly diagnosed patients-oral cancer,newly diagnosed patients-breast cancer_ncd,newly diagnosed patients-cervical cancer,newly diagnosed patients-other cancers,newly diagnosed patients-cvds,newly diagnosed patients-copd,newly diagnosed patients-ckd,newly diagnosed patients-nfald,newly diagnosed patients-stroke,newly diagnosed patients-rheumatoid arthritis
SRjaOfgOdW7,AHMADNAGAR District,INP020011,,1363.0,1953.0,339.0,0.0,0.0,0.0,0.0,11.0,16.0,0.0,0.0,26.0,2.0
y9J7k1pN9OA,Akola Circle,,,3235.0,5276.0,1683.0,12.0,126.0,42.0,29.0,243.0,426.0,22.0,0.0,220.0,39.0
qC8kRmVDTDh,AKOLA District,INP020010,,233.0,333.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LKmRCfa7kKi,AMRAVATI District,INP020003,,1120.0,1957.0,851.0,8.0,121.0,27.0,11.0,177.0,49.0,3.0,0.0,118.0,14.0
by8LuXBuJEM,Aurangabad Circle,,,2575.0,3889.0,1732.0,26.0,0.0,0.0,0.0,112.0,535.0,3.0,4.0,40.0,168.0
xF4hs9euAzp,AURANGABAD District,INP020004,,786.0,956.0,593.0,22.0,0.0,0.0,0.0,100.0,78.0,3.0,4.0,18.0,3.0
gaOwpAyUNPD,BEED District,INP020005,,6329.0,5390.0,2823.0,1.0,2.0,0.0,3.0,0.0,991.0,229.0,17.0,73.0,81.0
wH9vOL1BtQ6,BHANDARA District,INP020006,,10916.0,33495.0,4768.0,30.0,11.0,11.0,20.0,157.0,102.0,46.0,33.0,131.0,61.0
rV6qE1poSug,BULDHANA District,INP020007,,493.0,601.0,190.0,0.0,2.0,9.0,9.0,0.0,326.0,8.0,0.0,65.0,15.0
v68mENuVO6i,CHANDRAPUR District,INP020012,,598.0,1688.0,232.0,12.0,2.0,1.0,3.0,60.0,87.0,26.0,5.0,64.0,276.0
TNVtygx5jFa,DHULE District,INP020009,,774.0,1092.0,208.0,1.0,0.0,0.0,0.0,6.0,65.0,5.0,4.0,8.0,10.0
uO7oaa4xK73,GADCHIROLI District,INP020015,,1028.0,1447.0,545.0,35.0,6.0,3.0,12.0,168.0,18.0,42.0,33.0,46.0,42.0
GEt1mNCoczB,GONDIA District,INP020016,,958.0,1870.0,923.0,5.0,0.0,0.0,0.0,3.0,20.0,3.0,0.0,3.0,0.0
QtqEfxUglbW,HINGOLI District,INP020014,,109.0,621.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XkMce0wFkWa,JALGAON District,INP020008,,1383.0,1911.0,583.0,0.0,0.0,0.0,1.0,4.0,86.0,0.0,17.0,0.0,72.0
eugBHYWFNaX,JALNA District,INP020018,,248.0,288.0,98.0,1.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,17.0,0.0
gypaPwnDJ1I,Kolhapur Circle,,,14083.0,24892.0,6936.0,16.0,14.0,8.0,20.0,192.0,448.0,64.0,24.0,97.0,414.0
