organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,newly diagnosed patients-diabetes only,newly diagnosed patients-hypertension only,newly diagnosed patients-dm & htn (both),newly diagnosed patients-oral cancer,newly diagnosed patients-breast cancer_ncd,newly diagnosed patients-cervical cancer,newly diagnosed patients-other cancers,newly diagnosed patients-cvds,newly diagnosed patients-copd,newly diagnosed patients-ckd,newly diagnosed patients-nfald,newly diagnosed patients-stroke,newly diagnosed patients-rheumatoid arthritis
mIG6g6JDHb9,KOLHAPUR District,INP020019,,874.0,1686.0,629.0,4.0,0.0,0.0,3.0,15.0,1.0,27.0,0.0,7.0,72.0
GG3gJjxAbfx,Latur Circle,,,11398.0,12537.0,4826.0,14.0,7.0,12.0,17.0,116.0,1375.0,277.0,37.0,132.0,571.0
TqxlKYYICWF,LATUR District,INP020017,,810.0,1085.0,175.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0
b3vBdsycgAD,MAHARASHTRA,INP020,,81843.0,139188.0,42002.0,578.0,232.0,122.0,149.0,2067.0,4458.0,1073.0,435.0,1158.0,3019.0
MOrPVrbsUV5,Mumbai Circle,,,5575.0,6563.0,3039.0,8.0,4.0,0.0,7.0,274.0,592.0,36.0,4.0,170.0,245.0
xErXLgdjqAn,MUMBAI District,INP020021,,,,,,,,,,,,,,
KnqPnNOQioa,Nagpur Circle,,,18269.0,47670.0,9917.0,103.0,25.0,18.0,44.0,424.0,337.0,123.0,87.0,274.0,667.0
wbug8Mxo6zC,NAGPUR District,INP020020,,3810.0,5832.0,3070.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,14.0,0.0,253.0
YBdLW8HbtTq,NANDED District,INP020024,,2408.0,3671.0,1523.0,3.0,3.0,2.0,4.0,104.0,361.0,47.0,20.0,53.0,485.0
R3e0vEeNGKf,NANDURBAR District,INP020025,,3457.0,4323.0,1233.0,25.0,3.0,8.0,10.0,73.0,77.0,426.0,220.0,45.0,106.0
bpwdZ43qNP8,NASHIK District,INP020023,,3367.0,4181.0,1973.0,164.0,28.0,7.0,1.0,198.0,149.0,39.0,37.0,76.0,51.0
lt9nHhvDkE9,Nasik Circle,,,10344.0,13460.0,4336.0,190.0,31.0,15.0,12.0,292.0,393.0,470.0,278.0,155.0,241.0
ceSRLSuzCVv,OSMANABAD District,INP020027,,1851.0,2391.0,305.0,10.0,2.0,10.0,10.0,12.0,9.0,1.0,0.0,6.0,4.0
hNKI6wGAYKW,PALGHAR District,,,1830.0,1928.0,1086.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0
KybL1gHWlQz,PARBHANI District,INP020028,,1432.0,2024.0,952.0,3.0,0.0,0.0,0.0,8.0,450.0,0.0,0.0,5.0,165.0
tt1jP7AMMXh,Pune Circle,,,16364.0,24901.0,9533.0,209.0,25.0,27.0,20.0,414.0,352.0,78.0,1.0,70.0,674.0
YeFrXHg9G9A,PUNE District,INP020026,,14935.0,22683.0,8869.0,1.0,1.0,0.0,0.0,320.0,242.0,59.0,0.0,27.0,615.0
BoAXl0VBwzM,RAIGAD District,INP020030,,318.0,393.0,94.0,4.0,2.0,0.0,0.0,1.0,11.0,0.0,0.0,2.0,2.0
iq9F3uBuH8V,RATNAGIRI District,INP020031,,549.0,1128.0,319.0,7.0,8.0,2.0,5.0,38.0,17.0,11.0,0.0,25.0,0.0
IQkIUNqMpZh,SANGLI District,INP020029,,4903.0,9569.0,1934.0,0.0,0.0,1.0,0.0,0.0,389.0,0.0,7.0,0.0,324.0
eoPDxhiVN0N,SATARA District,INP020033,,770.0,1557.0,517.0,201.0,24.0,27.0,17.0,54.0,56.0,13.0,0.0,42.0,12.0
WtAaAL4DqyP,SINDHUDURG District,INP020034,,7757.0,12509.0,4054.0,5.0,6.0,5.0,12.0,139.0,41.0,26.0,17.0,65.0,18.0
TXW9gLCDId8,SOLAPUR District,INP020032,,659.0,661.0,147.0,7.0,0.0,0.0,3.0,40.0,54.0,6.0,1.0,1.0,47.0
gebOTX312Ko,THANE District,INP020001,,3427.0,4242.0,1859.0,4.0,2.0,0.0,7.0,272.0,576.0,36.0,4.0,168.0,243.0
O6nkEM1HSlL,WARDHA District,INP020035,,959.0,3338.0,379.0,21.0,6.0,3.0,9.0,36.0,57.0,6.0,2.0,30.0,35.0
cEtISxeARwH,WASHIM District,INP020002,,370.0,664.0,158.0,4.0,3.0,6.0,9.0,63.0,19.0,7.0,0.0,37.0,0.0
dSaNDIEQRBn,YEOTMAL District,INP020013,,1019.0,1721.0,421.0,0.0,0.0,0.0,0.0,3.0,32.0,4.0,0.0,0.0,10.0
